date,total_transactions,avg_gas_cost_usd,total_eth_transferred,active_unique_addresses,avg_block_utilization_pct,failed_tx_rate_pct,new_contracts_deployed,token_transfer_count
2026-06-15,1842441,0.4320569127589038,2012415.7678833783,612957,50.51502845705773,1.813,2283,4263204
2026-06-16,1850517,0.3341901264469171,1683943.120443934,583226,50.52239088595537,1.64,3187,4475752
2026-06-17,2359011,0.3217537652124656,1333928.0048116413,614363,50.56307055249095,1.329,2291,4569026
2026-06-18,2128356,0.38054584443632,1533951.57857699,581772,50.5128324384758,1.445,2504,4290557
2026-06-19,1882938,0.3024082278802867,1561776.0675074535,581759,50.54214945898195,2.148,3063,4593547
2026-06-20,2082631,0.2424772257097901,813998.0908160834,524986,50.460715238659695,1.899,2637,4689599
2026-06-21,2924395,0.1294091890807044,600845.7069771946,522067,50.50549036327988,1.089,2655,3803360
2026-06-22,2838530,0.2044261311460168,1476552.1718485788,641161,50.55003851169278,1.404,2591,3653613
2026-06-23,2891966,0.2475811770775424,1911826.7859227024,588408,50.45453268488358,1.412,2458,3702185
2026-06-24,2700616,0.3608860419774012,2052518.997695649,718857,50.51904181362518,1.433,2680,3680000
2026-06-25,2683262,0.4665122776548289,1974280.5157588928,647488,50.54192562423634,1.129,3106,3295542
2026-06-26,2317705,0.3706322316105165,2526620.676579195,704040,50.53714850731895,1.371,3091,3417854
